action,new_state,reward,state
103.0,"[ 60 180 320  40 180 320  60 200 320  80 180 320  60 180 320  60 180 320
  60 180 340  40  40  40  40  40  40  42  38  40  36  40  40  40  40  40
  42  40  40  40  38  40   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]",-5.972004725557904,"[ 60 180 320  40 180 320  60 200 320  80 180 320  60 180 320  60 180 340
  60 180 340  40  40  40  40  40  40  42  38  40  36  40  40  40  40  40
  42  40  40  40  38  40   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]"
6.0,"[ 60 200 320  40 180 320  60 200 320  80 180 320  60 180 320  60 180 320
  60 180 340  40  40  40  40  40  40  42  38  40  36  40  40  40  40  40
  42  40  40  40  38  40   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]",-4.784923790618695,"[ 60 180 320  40 180 320  60 200 320  80 180 320  60 180 320  60 180 320
  60 180 340  40  40  40  40  40  40  42  38  40  36  40  40  40  40  40
  42  40  40  40  38  40   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]"
0.0,"[ 80 200 320  40 180 320  60 200 320  80 180 320  60 180 320  60 180 320
  60 180 340  40  40  40  40  40  40  42  38  40  36  40  40  40  40  40
  42  40  40  40  38  40   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]",-4.997747256479241,"[ 60 200 320  40 180 320  60 200 320  80 180 320  60 180 320  60 180 320
  60 180 340  40  40  40  40  40  40  42  38  40  36  40  40  40  40  40
  42  40  40  40  38  40   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]"
121.0,"[ 80 200 320  40 180 320  60 200 320  80 180 320  60 180 320  60 180 320
  60 180 320  40  40  40  40  40  40  42  38  40  36  40  40  40  40  40
  42  40  40  40  38  40   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]",-5.081774665647934,"[ 80 200 320  40 180 320  60 200 320  80 180 320  60 180 320  60 180 320
  60 180 340  40  40  40  40  40  40  42  38  40  36  40  40  40  40  40
  42  40  40  40  38  40   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]"
123.0,"[ 80 200 320  40 180 320  60 200 320  80 180 320  60 180 320  60 180 320
  60 180 320  40  40  40  40  40  40  42  38  40  36  40  40  40  40  40
  42  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]",-5.1808706588744515,"[ 80 200 320  40 180 320  60 200 320  80 180 320  60 180 320  60 180 320
  60 180 320  40  40  40  40  40  40  42  38  40  36  40  40  40  40  40
  42  40  40  40  38  40   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]"
64.0,"[ 80 200 320  40 180 320  60 200 320  80 180 320  60 180 320  60 180 320
  60 180 320  40  40  40  40  40  40  42  38  40  36  40  40  40  40  40
  42  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]",-4.607875041219901,"[ 80 200 320  40 180 320  60 200 320  80 180 320  60 180 320  60 180 320
  60 180 320  40  40  40  40  40  40  42  38  40  36  40  40  40  40  40
  42  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]"
73.0,"[ 80 200 320  40 180 320  60 200 320  80 180 320  40 180 320  60 180 320
  60 180 320  40  40  40  40  40  40  42  38  40  36  40  40  40  40  40
  42  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]",-5.8226776399342155,"[ 80 200 320  40 180 320  60 200 320  80 180 320  60 180 320  60 180 320
  60 180 320  40  40  40  40  40  40  42  38  40  36  40  40  40  40  40
  42  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]"
71.0,"[ 80 200 320  40 180 320  60 200 320  80 180 320  40 180 320  60 180 320
  60 180 320  40  40  40  40  40  40  42  38  40  36  40  40  40  40  40
  42  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   0   1   1   1   1   1]",-3.4171426113194565,"[ 80 200 320  40 180 320  60 200 320  80 180 320  40 180 320  60 180 320
  60 180 320  40  40  40  40  40  40  42  38  40  36  40  40  40  40  40
  42  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   1
   1   1   1   0   1   1   1   1   1]"
31.0,"[ 80 200 320  40 180 300  60 200 320  80 180 320  40 180 320  60 180 320
  60 180 320  40  40  40  40  40  40  42  38  40  36  40  40  40  40  40
  42  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   0   1   1   1   1   1]",-4.2470122248421145,"[ 80 200 320  40 180 320  60 200 320  80 180 320  40 180 320  60 180 320
  60 180 320  40  40  40  40  40  40  42  38  40  36  40  40  40  40  40
  42  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   0   1   1   1   1   1]"
93.0,"[ 80 200 320  40 180 300  60 200 320  80 180 320  40 180 320  60 180 320
  60 180 320  40  40  40  40  40  40  42  38  40  36  40  40  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   0   1   1   1   1   1]",-5.186193980439629,"[ 80 200 320  40 180 300  60 200 320  80 180 320  40 180 320  60 180 320
  60 180 320  40  40  40  40  40  40  42  38  40  36  40  40  40  40  40
  42  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   0   1   1   1   1   1]"
2.0,"[ 80 200 320  40 180 300  60 200 320  80 180 320  40 180 320  60 180 320
  60 180 320  42  40  40  40  40  40  42  38  40  36  40  40  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   0   1   1   1   1   1]",-4.179502050562677,"[ 80 200 320  40 180 300  60 200 320  80 180 320  40 180 320  60 180 320
  60 180 320  40  40  40  40  40  40  42  38  40  36  40  40  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   0   1   1   1   1   1]"
9.0,"[ 80 200 320  40 180 300  60 200 320  80 180 320  40 180 320  60 180 320
  60 180 320  42  38  40  40  40  40  42  38  40  36  40  40  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   0   1   1   1   1   1]",-3.5959284095779793,"[ 80 200 320  40 180 300  60 200 320  80 180 320  40 180 320  60 180 320
  60 180 320  42  40  40  40  40  40  42  38  40  36  40  40  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   0   1   1   1   1   1]"
109.0,"[ 80 200 320  40 180 300  60 200 320  80 180 320  40 180 320  60 180 320
  40 180 320  42  38  40  40  40  40  42  38  40  36  40  40  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   0   1   1   1   1   1]",-3.6622703422959484,"[ 80 200 320  40 180 300  60 200 320  80 180 320  40 180 320  60 180 320
  60 180 320  42  38  40  40  40  40  42  38  40  36  40  40  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   0   1   1   1   1   1]"
71.0,"[ 80 200 320  40 180 300  60 200 320  80 180 320  40 180 320  60 180 320
  40 180 320  42  38  40  40  40  40  42  38  40  36  40  40  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   0   1   1   1   1   1]",-2.491293470993789,"[ 80 200 320  40 180 300  60 200 320  80 180 320  40 180 320  60 180 320
  40 180 320  42  38  40  40  40  40  42  38  40  36  40  40  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   0   1   1   1   1   1]"
125.0,"[ 80 200 320  40 180 300  60 200 320  80 180 320  40 180 320  60 180 320
  40 180 320  42  38  40  40  40  40  42  38  40  36  40  40  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   0   1   1   1   1   0]",-2.585395841841748,"[ 80 200 320  40 180 300  60 200 320  80 180 320  40 180 320  60 180 320
  40 180 320  42  38  40  40  40  40  42  38  40  36  40  40  40  40  40
  40  40  40  40  38  38   1   0   1   1   1   0   1   1   0   1   1   0
   1   1   1   0   1   1   1   1   1]"
